"name","address","category"
"Banyan Tree Spa Phuket","33 Moo 4, Srisoonthorn Road Cherngtalay, Amphur Talang Phuket 83110","spa_and_massage"
"Len Spa (Santiburi Koh Samui)","Santiburi Koh Samui 12/12 Moo 1, Maenam Beach, Koh Samui, Surat Thani 84330","spa_and_massage"
"Banyan Tree Angsana Spa Laguna Phuket","10 Moo 4 Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110","spa_and_massage"
"Viva Jiva Spa @The Landmark Bangkok Hotel","The Landmark Bangkok Hotel, 138 Sukhumvit Road, Klong Toei, Bangkok, Thailand 10110","spa_and_massage"
"B Relax Massage and Spa","25/8 Borommaratchachonnani Rd, Sala Thammasop, Thawi Watthana, Bangkok 10170","spa_and_massage"
"Dio Spa & Massage","18/10 Sukhumvit Soi 22 Khlong Toei Bangkok 10110","spa_and_massage"
"Lek Massage House","887/1 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330","spa_and_massage"
"Sunshine Spa & Massage","23/1 Soi Ekkamai 12, Khlong Tan Nuea, Watthana, Bangkok 10110","spa_and_massage"
"Lek Gold Sukhumvit 24","1/4 Sukhumvit 24 Alley, Klongton, Khlong Toei, Bangkok 10110","spa_and_massage"
"Suankwangtung Clinic","66-68 Soi Phra Kaew Road, Maitrijit Rd. Pomprap, Bangkok, 10100","spa_and_massage"
"Lek Massage @ BTS Siam","402 Rama 1 Road, Siam Square BTS Siam Square, Exit No. 6, Pathumwan, Pathum Wan, Bangkok 10330","spa_and_massage"
"Thanya Spa","227/9 Lat Phrao 1, Jom Phol, Chatuchak, Bangkok 10900","spa_and_massage"
"One More Thai Massage","993-995  Phloen chit Rd, Lumpini  Phatumwan  Bankok  10330","spa_and_massage"
"Mandarin Ginger Spa","8 Sukhumvit Soi 59, Sukhumvit Road, Klongton Nua, Wattana, Bangkok 10110","spa_and_massage"
"SPA Cenvaree @ Centara Grand CentralWorld Bangkok","Centara Grand at CentralWorld 999/99 Rama 1 Road, Pathumwan, Bangkok 10330, Thailand","spa_and_massage"
"Anantara Spa at Anantara Siam Bangkok Hotel","Anantara Siam Bangkok Hotel, 155 Rajadamri Road, Lumpini, Pathumwan, Bangkok, 10330","spa_and_massage"
"Stretch me by Let's Relax (Central World)","No. 4/4, 3th Floor, Room F313, Rama I Rd, Khwaeng Pathum Wan, Khet Pathum Wan, Bangkok 10330","spa_and_massage"
"Behap Wellness Clinic","2nd floor 88 Nana Hiso Hotel, Floor 2, Soi Sukhumvit 3, Khlong Toei Nuea, Watthana, Bangkok 10110","spa_and_massage"
"Amolir Massage","37/2 Surawong Rd, Suriya Wong,  Bangkok 10500","spa_and_massage"
"SilapART Wellness & Spa","12th Floor, Hotel Grand Mercure Bangkok Fortune, 1 Ratchadaphisek Rd, Din Daeng, Din Daeng District, Bangkok 10400","spa_and_massage"
"Eforea Spa at Millennium Hilton Bangkok","123 Millennium Hilton Bangkok L Floor, Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Klongsan, Bangkok 10600","spa_and_massage"
"Erb Spa (Warehouse 30 Charoenkrung)","Erb Spa, Warehouse 30 , Chareon Krung Soi 30, Chareon Krung District, Bangkok 10110","spa_and_massage"
"Urban Calm","55 Phayathai Road Ratchatewi Bangkok 10400","spa_and_massage"
"Pimmalai Spa","2105/1 Sukhumvit Road (Between Soi 81 and 83) Bangchak, Phrakanong Bangkok 10260, Thailand","spa_and_massage"
