"name","address","category"
"Rejuv Salon (Asoke Branch)","Interchange21 Tower, G floorSoi Cowboy, Khlong Toei Nuea, Watthana, Bangkok 10110","barbershop"
"De Beaute Nail Bar and Spa","936/1 Soi Sukhumvit 55 Thonglor Rd, 936/1  Khlong Tan Nuea, Watthana, Bangkok 10110","barbershop"
"Enrich Salon and Spa (Thonglor Branch)","154 Sukhumvit , Khwaeng Khlong Tan Nuea, Khet Watthana, Bangkok 10110","barbershop"
"GLO One Stop Beauty Lounge by APEX","Apex Medical Center 4th Floor (BTS Ploenchit Ext 4) Duang Phithak Road, Khlong Toei, Bangkok 10110","barbershop"
"The Esquire Barber Club (Ekkamai 10)","3 Soi Charoenmit (Ekkamai10) Sukhumvit 63 Rd., Klongtun Nuea Wattana, Bangkok 10110","barbershop"
"Create Hair (The Sense Pinklao)","1st Floor, The Sense Pinklao, 71, 50 Borommaratchachonnani Rd, Khwaeng Arun Amarin, Khet Bangkok Noi, Bangkok 10700","barbershop"
"Truefitt & Hill (Gaysorn Village Branch)","999 Gaysorn Village, 1st Floor, The Artisans' Royal Club Zone, Phloen Chit Rd, Lumphini, Pathum Wan, Bangkok 10330","barbershop"
"The Famed Beauty and Studio","2nd Prasarnmit Plaza, Sukhumvit 23, Klongtoey-Nuea, Wattana, Bangkok 10110","barbershop"
"akru Hair Beauty Salon (Q House Lumpini Branch)","1 Life Center Building, 1st Floor, Sathon Tai Rd, Thung Maha Mek, Sathon, Bangkok 10120","barbershop"
"CHA-DA by The Gallery","222 Soi Sukhumvit 103 Bang Na, Bangkok 10260","barbershop"
"Mon Nail Spa & Salon","E 103/1 floor 1 The Paseo Town, Ramkhamhaeng 127/3 Rd, Bangkok, Thailand 10240","barbershop"
"Niche Salon Bangkok","All Season place - CRC Tower 3rd Floor, 87 Witthayu Rd, Lumphini, Pathum Wan District, Bangkok 10330","barbershop"
"Charmante Hair Salon","18 Quad service Apartment, Soi Sukhumvit36, Klongtoey, Phrakanong,Klongtoey Bangkok 10110","barbershop"
"The Bloom Salon","251/2 Soi Thong Lo 13, Khlong Tan Nuea, Sukhumvit Rd, Khlong Tan Nuea, Watthana, Bangkok 10110","barbershop"
"NaQiCha Concept Sleep&Salon","8/1-5 The Paseo Park (Kanjanapisek), Kanchanaphisek Rd, Sala Thammasop, Thawi Watthana, Bangkok 10170","barbershop"
"Lur Sleep Salon","1000/17 The Master, Between Soi On Nuch 30-32 (Near BTS On Nuch), Suan Luang, Bangkok 10250","barbershop"
"Siri Giriya Spa","1954/9, Sukhumvit 60, Sukhumvit Rd., Bangjak, Prakanong, Bangkok Thailand 10260","barbershop"
"Good Old Days BarberShop 6 - Ekkamai","33/4 Ekkamai Rd,  Khlong Tan Nuea, Watthana, Bangkok 10260","barbershop"
"Hair Flair (Ploenchit)","Wave Place, 55 Wireless Road, Lumpini Pathumwan 10330 Bangkok, Thailand","barbershop"
"National Hair Institute (The Sense Pinklao Branch)","The Sense, 71/50 BOROMMARATCHACHONNANI RD. ARUN AMMARIN , BANGKOK NOI BANGKOK 10700","barbershop"
"Nap Bangkok Spa & Sleep Salon","BTS Ekkamai Exit 1, 3rd Floor, 1323 (1st floor Amazon Cafe), Sukhumvit Rd., Phra Khanong Nhua, Wattana, Bangkok 10110","barbershop"
"Tom Salon","16 Soi Silom 3, Silom, Bangrak, Bangkok 10500","barbershop"
"Hair Flair (Prakanong)","4/5 Sukumvit 67, Pra Khanong Nuea, Wattana,  Bangkok","barbershop"
"Merry Me Salon & Styling Studio","Prasert-Manukitch Rd, Khwaeng Chorakhe Bua, Khet Lat Phrao, Bangkok 10230","barbershop"
"Altip","515 sukhumwit 101 Road soi Punnavithi15 Bangchak Prakhanong 10260","barbershop"
"TubTim Salon","39 Behind Restaurant Cocotte, Boulevard Phrompong, Sukhumwit 39, Sukhumwit Road, Wattana, Bangkok 10110","barbershop"
"Head2Toe (Silom)","212/6 Si Lom, Khwaeng Suriya Wong, Khet Bang Rak, Bangkok","barbershop"
"Hair Salon by Pink Area","57 Lat Phrao 71 Alley, Nak Niwat Rd, Lat Phrao , Lat Phrao district Bangkok 10230","barbershop"
"Grade A Hair Studio","25 New land building, 1st floor  Sukhumvit33,Klongton Nua, Wattana district Bangkok 10110","barbershop"
"THE CRAFTSMAN BARBER","466/30 Phaholyothin rd. ,Phayathai , Bangkok 10400","barbershop"
"Miracle beauty&hair Studio","945 Posaya Non Alley, Samrong Nuea, Mueang Samut Prakan, Samut Prakan 10270","barbershop"
"Coco 106 Hair Studio","9/19 Silom Soi 3, Soi. Phipat, Bangkok, Thailand 10500","barbershop"
"Kami Kami (Silom Branch)","BTS Saladaeng Exit4- 191 Silom complex 3rd floor room 334 , Silom, Bang Rak, Bangkok 10500","barbershop"
"Jittrawan Wellness Spa","19/19 Moo.1 Srinakarin Rd. Bangkaew,Bangplee, Samut Prakan 10540","barbershop"
"Wonderland Hair Salon","308 Ten Building, 2nd Floor, Soi Thonglor 10, Khlong Tan Nuea, Watthana, Bangkok 10110","barbershop"
"Craftsman Barber Shop","5/38 Pridi Banomyong 3 Sukhumvit71 Phra Kanong","barbershop"
"The Hills","5/5 Sukhumvit 49, Klongtan Neur, Wattana, Bangkok 10110","barbershop"
"Sugarholic (Chatuchak Branch)","8 Kamphaeng Phet 3 Rd, Chatuchak, Chatuchak, Bangkok 10900","barbershop"
