"name","address","category"
"Leafyy Natural","Craft Club BKK on 2nd floor, 1042 Sukhumvit44/2, Phra Khanong, Klongtoei, Bangkok 10110","hair_removal"
"BiY Clinic","189/14 Ladprao Soi 1, Ladprao Rd, ChomPhon, Chatuchak Bangkok 10900","hair_removal"
"Debborah Nail Spa (Sukhumvit49 Branch)","49 Sukhumvit Rd, Klongton-Nua, Wattana Bangkok 10110","hair_removal"
"Siris Beauty Couture","49 The 49 Terrace, Soi Sukhumvit 49, Klongtan-Nua, Watthana, Bangkok 10110","hair_removal"
"JKs Stylish Hair Salon & Nail Spa","8/1 Sukhumvit 33 wattana bangkok 10110","hair_removal"
"Maison de Nail","Floor 1 Eight Thonglor building., Thonglor soi 8 Bangkok, Thailand 10110","hair_removal"
"Posh Salon Sukhumvit 31","3/2 Soi sukhumvit31 Bangkok 10110","hair_removal"
"Nanaluxury","126/17  City Mall Bluding , Vibhavadi Rangsit Rd, Din Daeng, Din Daeng, Bangkok 10400","hair_removal"
"Nailosophy - Silom Branch","30/4 Saladaeng Rd., Silom Bangrak Bangkok 10500","hair_removal"
"Cherry Blossom Spa","Legacy Suites, Sukhumvit 29 (BTS Asoke / MRT Sukhumvit)","hair_removal"
"Pixie Beauty Salon","16 Chaem Chan Alley, Khlong Tan Nuea, Watthana, Bangkok 10110","hair_removal"
"Gangnam Clinic (Central  Chaengwattana)","99 99  Chaeng Watthana Rd, Tambon Pak Kret, Pak Kret District, Nonthaburi 11120","hair_removal"
"Benefit Cosmetics Brow Bar (Central Chidlom)","1207 Phloen Chit Rd, Khwaeng Lumphini, Khet Pathum Wan, Krung Thep Maha Nakhon 10330","hair_removal"
"BareHare Eyebrow & Wax Salon (Ekkamai)","Ekkamai shopping mall (Verng-boran), soi Ekkamai 10, Sukhumvit 63 Rd, Khlong Tan Nuea, Watthana, Bangkok 10110","hair_removal"
"Benefit Cosmetics Brow Bar (The Emporium)","662 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110","hair_removal"
"Nail Parfait","3rd floor, The [email protected], Soi Chidlom, Ploenchit Rd. Bangkok 10330","hair_removal"
"Beauty De Box","64 Sukhumvit23, (Prasanmit) Wattana ,Bangkok 10110","hair_removal"
"Round About Nails","715 Prajadhipok Rd, Khwaeng Somdet Chao Phraya, Khet Khlong San, Bangkok","hair_removal"
"Debborah Nail Spa (Wutthakat Branch)","2nd floor of The Entrance, 77 Soi Suanluang, Khwaeng Bang Kho, Khet Chom Thong, Bangkok 10150","hair_removal"
"Glow Nails & Spa","Ari Hills 2nd Floor, 428 Phahonyothin Road, Soi 10, Phaya Thai, Bangkok 10400","hair_removal"
